MaNganh,TenVSIC
01110,Trồng lúa
01120,Trồng ngô và cây lương thực có hạt khác
01130,Trồng cây lấy củ có chất bột
01140,Trồng cây mía
01150,"Trồng cây thuốc lá, thuốc lào"
01160,Trồng cây lấy sợi
01170,Trồng cây có hạt chứa dầu
01181,Trồng rau các loại
01182,Trồng đậu các loại
01183,"Trồng hoa, cây cảnh hàng năm"
01191,Trồng cây gia vị hàng năm
01192,"Trồng cây dược liệu, hương liệu hàng năm"
01199,Trồng cây hàng năm khác còn lại
01211,Trồng nho
01212,Trồng cây ăn quả vùng nhiệt đới và cận nhiệt đới
01213,"Trồng cam, quýt và các loại quả có múi khác"
01214,"Trồng táo, mận và các loại quả có hạt như táo"
01215,"Trồng nhãn, vải, chôm chôm"
01219,Trồng cây ăn quả khác
01220,Trồng cây lấy quả chứa dầu
01230,Trồng cây điều
01240,Trồng cây hồ tiêu
01250,Trồng cây cao su
01260,Trồng cây cà phê
01270,Trồng cây chè
01281,Trồng cây gia vị lâu năm
01282,"Trồng cây dược liệu, hương liệu lâu năm"
01291,Trồng cây cảnh lâu năm
01299,Trồng cây lâu năm khác còn lại
01310,Nhân và chăm sóc cây giống hàng năm
01320,Nhân và chăm sóc cây giống lâu năm
01411,"Sản xuất giống trâu, bò"
01412,"Chăn nuôi trâu, bò"
01421,"Sản xuất giống ngựa, lừa"
01422,"Chăn nuôi ngựa, lừa, la"
01441,"Sản xuất giống dê, cừu, hươu, nai"
01442,"Chăn nuôi dê, cừu, hươu, nai"
01451,Sản xuất giống lợn
01452,Chăn nuôi lợn
01461,Hoạt động ấp trứng và sản xuất giống gia cầm
01462,Chăn nuôi gà
01463,"Chăn nuôi vịt, ngan, ngỗng"
01469,Chăn nuôi gia cầm khác
01490,Chăn nuôi khác
01500,"Trồng trọt, chăn nuôi hỗn hợp"
01610,Hoạt động dịch vụ trồng trọt
01620,Hoạt động dịch vụ chăn nuôi
01630,Hoạt động dịch vụ sau thu hoạch
01640,Xử lý hạt giống để nhân giống
01700,"Săn bắt, đánh bẫy và hoạt động dịch vụ có liên quan"
02101,Trồng rừng và chăm sóc rừng cây thân gỗ
02102,Trồng rừng và chăm sóc rừng họ tre
02103,Trồng rừng và chăm sóc rừng khác
02104,Ươm giống cây lâm nghiệp
02200,Khai thác gỗ
02310,Khai thác lâm sản trừ gỗ
02320,Thu nhặt lâm sản trừ gỗ
02400,Hoạt động dịch vụ lâm nghiệp
03110,Khai thác thủy sản biển
03120,Khai thác thủy sản nội địa
03211,Nuôi cá
03212,Nuôi tôm
03213,Nuôi thủy sản khác
03214,Sản xuất giống thủy sản biển
03221,Nuôi cá
03222,Nuôi tôm
03223,Nuôi thủy sản khác
03224,Sản xuất giống thủy sản nội địa
05100,Khai thác và thu gom than cứng
05200,Khai thác và thu gom than non
06100,Khai thác dầu thô
06200,Khai thác khí đốt tự nhiên
07100,Khai thác quặng sắt
07210,Khai thác quặng uranium và quặng thorium
07221,Khai thác quặng bôxít
07229,Khai thác quặng kim loại khác không chứa sắt chưa được phân vào đâu
07300,"Khai thác quặng kim loại quý hiếm "
08101,Khai thác đá
08102,"Khai thác cát, sỏi"
08103,Khai thác đất sét
08910,Khai thác khoáng hoá chất và khoáng phân bón
08920,Khai thác và thu gom than bùn
08930,Khai thác muối
08990,Khai khoáng khác chưa được phân vào đâu
09100,"Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí tự nhiên, , "
09900,Hoạt động dịch vụ hỗ trợ khai khoáng khác
10101,"Giết mổ gia súc, gia cầm"
10102,Chế biến và bảo quản thịt
10109,"Chế biến và bảo quản các sản phẩm từ thịt "
10201,Chế biến và bảo quản thủy sản đông lạnh
10202,Chế biến và bảo quản thủy sản khô
10203,Chế biến và bảo quản nước mắm
10209,Chế biến và bảo quản các sản phẩm khác từ thủy sản
10301,Sản xuất nước ép từ rau quả
10309,Chế biến và bảo quản rau quả khác
10401,"Sản xuất dầu, mỡ động vật"
10402,"Sản xuất dầu, bơ thực vật"
10500,Chế biến sữa và các sản phẩm từ sữa
10611,Xay xát
10612,Sản xuất bột thô
10620,Sản xuất tinh bột và các sản phẩm từ tinh bột
10710,Sản xuất các loại bánh từ bột
10720,Sản xuất đường
10730,"Sản xuất ca cao, sôcôla và bánh kẹo"
10740,"Sản xuất mì ống, mỳ sợi và sản phẩm tương tự"
10751,"Sản xuất món ăn, thức ăn chế biến sẵn từ thịt"
10752,"Sản xuất món ăn, thức ăn chế biến sẵn từ thủy sản"
10759,"Sản xuất món ăn, thức ăn chế biến sẵn khác"
10760,Sản xuất chè
10770,Sản xuất cà phê
10790,Sản xuất thực phẩm khác chưa được phân vào đâu
10800,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản"
11010,"Chưng, tinh cất và pha chế các loại rượu mạnh"
11020,Sản xuất rượu vang
11030,Sản xuất bia và mạch nha ủ men bia
11041,"Sản xuất nước khoáng, nước tinh khiết đóng chai"
11042,Sản xuất đồ uống không cồn
12001,Sản xuất thuốc lá
12009,Sản xuất thuốc hút khác
13110,Sản xuất sợi
13120,Sản xuất vải dệt thoi
13130,Hoàn thiện sản phẩm dệt
13910,"Sản xuất vải dệt kim, vải đan móc và vải không dệt khác"
13920,Sản xuất hàng dệt sẵn (trừ trang phục)
13930,"Sản xuất thảm, chăn, đệm"
13940,Sản xuất các loại dây bện và lưới
13990,Sản xuất các loại hàng dệt khác chưa được phân vào đâu
14100,May trang phục (trừ trang phục từ da lông thú)
14200,Sản xuất sản phẩm từ da lông thú
14300,"Sản xuất trang phục dệt kim, đan móc"
15110,"Thuộc, sơ chế da; sơ chế và nhuộm da lông thú"
15120,"Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm"
15200,"Sản xuất giày, dép"
16101,"Cưa, xẻ và bào gỗ"
16102,Bảo quản gỗ
16210,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác"
16220,Sản xuất đồ gỗ xây dựng
16230,Sản xuất bao bì bằng gỗ
16291,Sản xuất sản phẩm khác từ gỗ
16292,"Sản xuất sản phẩm từ lâm sản (trừ gỗ), cói và vật liệu tết bện"
17010,"Sản xuất bột giấy, giấy và bìa"
17021,"Sản xuất bao bì bằng giấy, bìa"
17022,Sản xuất giấy nhăn và bìa nhăn
17090,"Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu , "
18110,In ấn
18120,Dịch vụ liên quan đến in
18200,Sao chép bản ghi các loại
19100,Sản xuất than cốc
19200,Sản xuất sản phẩm dầu mỏ tinh chế
20111,Sản xuất khí công nghiệp
20112,Sản xuất chất nhuộm và chất màu
20113,Sản xuất hóa chất vô cơ cơ bản khác
20114,Sản xuất hoá chất hữu cơ cơ bản khác
20119,Sản xuất hóa chất cơ bản khác
20120,Sản xuất phân bón và hợp chất ni tơ
20131,Sản xuất plastic nguyên sinh
